JOB_NUMBER,ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,HEADER_VARIABLE_DATA|SKU_VALUE,SKU_SEQ,SKU_QUANTITY,Re_Qty,RB,Color_Group,Dimension_Group,Group_NATO,Fix_Orientation,Group_SKU,wds
ATO-51771953-R1,ATV670457,20,30,1,1,50,60,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51771953-R1,ATV670457,20,30,2,2,350,360,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51771953-R1,ATV670457,20,30,3,3,275,285,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51771953-R1,ATV670457,20,30,4,4,350,360,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51771953-R1,ATV670457,20,30,5,5,175,185,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51771953-R1,ATV670457,20,30,6,6,25,35,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51771951-R1,ATV670457,20,30,1,1,625,635,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51742257-R1,ATV670457,20,30,1,1,20,30,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51742257-R1,ATV670457,20,30,2,2,450,460,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51742257-R1,ATV670457,20,30,3,3,20,30,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51754650-R1,ATV670457,20,30,1,1,275,285,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51732157-R1,ATV670457,20,30,1,1,525,535,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51732157-R1,ATV670457,20,30,2,2,150,160,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51734801-R1,ATV670457,20,30,1,1,975,985,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51734801-R1,ATV670457,20,30,2,2,525,535,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51733165-R1,ATV670457,20,30,1,1,500,510,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-51733165-R1,ATV670457,20,30,2,2,150,160,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|0|0005190-01|23|03|LW7CSXS,1,100,110,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
ATO-52145145,ATV670457,20,30,|2|0005190-01|23|03|LW7CSXS,2,150,160,LULUEMON_ATHLETICA,CG1,DG1,0,0,0,1
