JOB_NUMBER,ITEM,OVERALL_LABEL_WIDTH,OVERALL_LABEL_LENGTH,HEADER_VARIABLE_DATA|SKU_VALUE,SKU_SEQ,SKU_QUANTITY,Re_Qty,RB,Color_Group,Dimension_Group,Group_NATO,Fix_Orientation,Group_SKU,wds
ATO-50942160-R1,ATV445174A,33,60,1,1,716,726,ACADEMY,CG2,DG2,0,0,0,1
ATO-50942160-R1,ATV445174A,33,60,2,2,250,260,ACADEMY,CG2,DG2,0,0,0,1
ATO-50942132-R1,ATV445174A,33,60,1,1,415,425,ACADEMY,CG2,DG2,0,0,0,1
ATO-50942132-R1,ATV445174A,33,60,2,2,572,582,ACADEMY,CG2,DG2,0,0,0,1
ATO-50942132-R1,ATV445174A,33,60,3,3,88,98,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173225,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|S,1,2749,2759,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173225,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|M,2,4287,4297,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173225,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|L,3,6385,6395,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173225,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|XL,4,5864,5874,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173225,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|2XL,5,3800,3810,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173225,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|3XL,6,2662,2672,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173224,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|S,1,2193,2203,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173224,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|M,2,3446,3456,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173224,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|L,3,5780,5790,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173224,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|XL,4,6667,6677,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173224,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|2XL,5,5765,5775,ACADEMY,CG2,DG2,0,0,0,1
ATO-51173224,ATV445174A,33,60,MADE_IN_INDONESIA|CLASSIC_FIT|3XL,6,4343,4353,ACADEMY,CG2,DG2,0,0,0,1
